ID;Answer;Weight;Score;;;
1;Select answer for Q1;30;0;;;
2;Select answer for Q2;30;0;;;
3;Select answer for Q3;10;0;;;
4;Select answer for Q4;10;0;;;
5;Select answer for Q5;25;0;;;
6a;Select answer for Q6a;15;0;;;
6b;Select answer for Q6b;15;0;;;
6c;Select answer for Q6c;15;0;;;
6d;Select answer for Q6d;10;0;;;
7;Select answer for Q7;15;0;;;
8;Select answer for Q8;15;0;;;
9a;Select answer for Q9a;15;0;;;
9b;Select answer for Q9b;10;0;;;
10a;Select answer for Q10a;20;0;;;
10b;Select answer for Q10b;10;0;;;
10c;Select answer for Q10c;15;0;;;
11a;Select answer for Q11a;15;0;;;
11b;Select answer for Q11b;N/A;N/A;;;
12;Select answer for Q12;30;0;;;
13;Select answer for Q13;N/A;N/A;;;
14;Select answer for Q14;20;0;;;
15;Select answer for Q15;20;0;;;
16;Select answer for Q16;20;0;;;
17a;Select answer for Q17a;20;0;;;
17b;Select answer for Q17b;20;0;;;
18;Select answer for Q18;20;0;;;
19;Select answer for Q19;20;0;;;
20;Select answer for Q20;20;0;;;
21;Select answer for Q21;20;0;;;
22a;Select answer for Q22a;15;0;;;
22b;Select answer for Q22b;N/A;N/A;;;
23a;Select answer for Q23a;15;0;;;
23b;Select answer for Q23b;15;0;;;
23c;Select answer for Q23c;10;0;;;
24a;N/A;N/A;N/A;;;
24b;Select answer for Q24b;10;0;;;
25a;Select answer for Q25a;15;0;;;
25b;Select answer for Q25b;10;0;;;
25c;Select answer for Q25c;10;0;;;
25d;Select answer for Q25d;10;0;;;
26a;Select answer for Q26a;15;0;;;
26b;Select answer for Q26b;10;0;;;
27a;Select answer for Q27a;20;0;;;
27b;Select answer for Q27b;0;N/A;;;
28;Select answer for Q28;10;0;;;
29;Select answer for Q29;15;0;;;
30;Select answer for Q30;20;0;;;
31;Select answer for Q31;20;0;;;
32;Select answer for Q32;15;0;;;
33;Select answer for Q33;20;0;;;
34;Select answer for Q34;30;0;;;
35;Select answer for Q35;25;0;;;
36;Select answer for Q36;15;0;;;
37;Select answer for Q37;40;0;;;
38;Select answer for Q38;40;0;;;
39a;Select answer for Q39a;20;0;;;
39b;Select answer for Q39b;10;0;;;
40;Select answer for Q40;20;0;;;
41;Select answer for Q41;15;0;;;
42;Select answer for Q42;15;0;;;
43;Select answer for Q43;15;0;;;
44;Select answer for Q44;15;0;;;
45;Select answer for Q45;20;0;;;
46;Select answer for Q46;15;0;;;
47;Select answer for Q47;15;0;;;
48;Select answer for Q48;15;0;;;
49;Select answer for Q49;15;0;;;
50;Select answer for Q50;20;0;;;
51;Select answer for Q51;15;0;;;
52;Select answer for Q52;15;0;;;
53;Select answer for Q53;15;0;;;
54;Select answer for Q54;15;0;;;
55;Select answer for Q55;20;0;;;
56;Select answer for Q56;20;0;;;
57;Select answer for Q57;20;0;;;
58;Select answer for Q58;20;0;;;
59;Select answer for Q59;20;0;;;
60;Select answer for Q60;10;0;;;
61;Select answer for Q61;10;0;;;
62a;Select answer for Q62a;10;0;;;
62b;Select answer for Q62b;10;0;;;
63;Select answer for Q63;10;0;;;
64;Select answer for Q64;10;0;;;
65;Select answer for Q65;10;0;;;
66a;Select answer for Q66a;10;0;;;
66b;Select answer for Q66b;10;0;;;
66c;Select answer for Q66c;10;0;;;
67;Select answer for Q67;10;0;;;
68;Select answer for Q68;10;0;;;
69a;Select answer for Q69a;10;0;;;
69b;Select answer for Q69b;N/A;N/A;;;
69c;Select answer for Q69c;10;0;;;
70a;Select answer for Q70a;10;0;;;
70b;Select answer for Q70b;15;0;;;
71;Select answer for Q71;10;0;;;
72;Select answer for Q72;10;0;;;
73;Select answer for Q73;10;0;;;
74;Select answer for Q74;10;0;;;
75;Select answer for Q75;10;0;;;
76;Select answer for Q76;10;0;;;
77;Select answer for Q77;20;0;;;
78;Select answer for Q78;10;0;;;
79;Select answer for Q79;15;0;;;
80a;Select answer for Q80a;10;0;;;
80b;Select answer for Q80b;10;0;;;
81a;Select answer for Q81a;10;0;;;
81b;Select answer for Q81b;10;0;;;
82;Select answer for Q82;10;0;;;
83;Select answer for Q83;N/A;N/A;;;
84;Select answer for Q84;10;0;;;
85;Select answer for Q85;10;0;;;
86;Select answer for Q86;10;0;;;
87;Select answer for Q87;10;0;;;
88;Select answer for Q88;10;0;;;
89;Select answer for Q89;10;0;;;
90a;Select answer for Q90a;10;0;;;
90b;Select answer for Q90b;N/A;N/A;;;
91;Select answer for Q91;15;0;;;
92a;Select answer for Q92a;10;0;;;
92b;Select answer for Q92b;10;0;;;
93a;Select answer for Q93a;N/A;N/A;;;
93b;Select answer for Q93b;10;0;;;
93c;Select answer for Q93c;15;0;;;
94a;Select answer for Q94a;10;0;;;
94b;Select answer for Q94b;N/A;N/A;;;
95;Select answer for Q95;10;0;;;
96;Select answer for Q96;10;0;;;
97;Select answer for Q97;10;0;;;
98;Select answer for Q98;30;0;;;
99;Select answer for Q99;10;0;;;
100;Select answer for Q100;10;0;;;
101;Select answer for Q101;15;0;;;
102;Select answer for Q102;10;0;;;
103;Select answer for Q103;10;0;;;
104a;Select answer for Q104a;15;0;;;
104b;Select answer for Q104b;N/A;N/A;;;
104c;Select answer for Q104c;10;0;;;
105a;Select answer for Q105a;15;0;;;
105b;Select answer for Q105b;15;0;;;
106;Select answer for Q106;20;0;;;
107;Select answer for Q107;20;0;;;
108;Select answer for Q108;40;0;;;
109;Select answer for Q109;30;0;;;
110;Select answer for Q110;20;0;;;
111a;Select answer for Q111a;20;0;;;
111b;Select answer for Q111b;15;0;;;
112;Select answer for Q112;20;0;;;
113;Select answer for Q113;10;0;;;
114;Select answer for Q114;10;0;;;
115;Select answer for Q115;20;0;;;
116;Select answer for Q116;10;0;;;
117;Select answer for Q117;10;0;;;
118;Select answer for Q118;15;0;;;
119a;Select answer for Q119a;15;0;;;
119b;Select answer for Q119b;15;0;;;
120;Select answer for Q120;25;0;;;
121;Select answer for Q121;25;0;;;
122a;Select answer for Q122a;20;0;;;
122b;Select answer for Q122b;20;0;;;
123;Select answer for Q123;5;0;;;
124a;Select answer for Q124a;25;0;;;
124b;Select answer for Q124b;15;0;;;
125a;Select answer for Q125a;20;0;;;
125b;Select answer for Q125b;25;0;;;
126;Select answer for Q126;15;0;;;
127;Select answer for Q127;30;0;;;
128a;Select answer for Q128a;20;0;;;
128b;Select answer for Q128b;25;0;;;
128c;Select answer for Q128c;25;0;;;
128d;Select answer for Q128d;25;0;;;
128e;Select answer for Q128e;25;0;;;
129;Select answer for Q129;15;0;;;