;Dimension 1: Open Data Policy;;;;;;;;;;;
ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable);;;;;;
;1.1 Policy framework;;;;;;;;;;;
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"Yes, there is an open data law at federal level. In July 2017, Section 12a of the E-Government Act (EGovG) entered into force (First Open Data Act), which for the first time created a legal basis for the mandatory provision of open administrative data by federal authorities. The Second Open Data Act, which entered into force in July 2021, further adapted the content of the existing obligations under Section 12a of the EGovG and extended them to the entire federal administration.

The Data Use Act (DNG) which also entered into force on 23 July 2021 aims to modernise and replace the Information Re-Use Act (IWG). In order to improve the usability of data, open data will need to be used in machine-readable formats. In addition, the DNG stimulates open data initiatives beyond the boundaries of the federal administration and establishes the principle of ‘open by default’ also for the use of data by the Länder, municipalities and public undertakings in the areas of water, transport and energy supply. The DNG also transposes EU Directive 2019/1024 (Open Data and Public Sector Information-Directive), which was recast in 2019.

Link sources:
(Second) Open Data Act: http://www.gesetze-im-internet.de/egovg/__12a.html
Data Use Act (DNG): http://www.gesetze-im-internet.de/dng/index.html";Confirm;;;;;;;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"Link sources:
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.html

The Federal Government’s Open Data Strategy, adopted on 6 July 2021, provides a framework for action to improve the Federal Open Data Ecosystem. The Federal Government’s data strategy forms the overarching data policy framework for the Open Data Strategy. Over a period of five years, the Open Data Strategy covers three areas of action, with a total of 68 implementation measures taken by different federal ministries and authorities. The three strands of action include improving the provision of data and developing data infrastructures, increasing innovative, public-interest and responsible use of data, and promoting data literacy and a data culture to increase the quality and usability of data provided. The implementation of the Open Data Strategy is accompanied by continuous monitoring.";Confirm;;;;;;;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";yes;"There are a lot of examples at regional and at local level (states = Länder), see below:
Berlin (state)
Open Data is embedded in §13 E Government Law of Berlin (https://gesetze.berlin.de/bsbe/document/jlr-EGovGBEpP13); furthermore we have an Open Data Act to specify the Open Data Law: https://www.berlin.de/moderne-verwaltung/e-government/open-data/rvo.pdf?ts=1673410120; Berlin hasa new Open Data strategy, which was developed in a wide participation form with the stakeholders from the economy, administration, science and civil community: https://www.berlin.de/moderne-verwaltung/e-government/open-data/strategieprozess/eregbnisse-der-beteiligungsworkshops-des-open-data-strategieprozesses.pdf?ts=1682690426

North Rhine-Westphalia (NRW)
Open Data Regulation (providing governmental data, §16a EGovG NRW): https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085
Open Data-Verordnung (prescribes how data should be published): https://recht.nrw.de/lmi/owa/br_vbl_detail_text?anw_nr=6&vd_id=20121&ver=8&val=20121&sg=0&menu=0&vd_back=N 
Open.NRW-Strategy: Part 1: https://open.nrw/system/files/media/document/file/opennrwt1web.pdf / Part 2: https://open.nrw/system/files/media/document/file/opennrwt2web.pdf
Open Government Pact (Cooperation between municipalities and federal state): https://open.nrw/open-government/open-government-pakt 

Rhineland-Palatinate (Rheinland-Pfalz)
For an example of an open data policy see: https://www.landesrecht.rlp.de/bsrp/document/jlr-TranspGRPrahmen 
The Rhineland-Palatinate State Transparency Act (LTranspG) came into force on January 1, 2016. It regulates access to “information”, this means official information and environmental information. The law provides for an application procedure according to which anyone can request access to information present from any so-called transparency-obligated body (this includes all Rhineland-Palatinate authorities, insofar as they carry out administrative activities). Furthermore, the law regulates that the information defined in a definite list in § 7 para. 1 and 2 LTranspG must be published proactively (officially, without having to submit an application) by the bodies subject to transparency obligations. The place of publication is an electronic platform, the so-called transparency platform, provided by the Land of Rhineland-Palatinate. In addition to the Transparency Act the government of Rhineland-Palatinate is planning on initiating an open data policy similar to the one at federal level  in order to ensure that even more government data is available to the public free of charge and in a standardized, machine-readable form. In this context, the adoption of an open data strategy is also envisaged.

Schleswig-Holstein
Open Data Act (Offene-Daten-Gesetz, ODaG): https://www.gesetze-rechtsprechung.sh.juris.de/bssh/document/jlr-OpenDataGSHrahmen

Thuringia
For the high-value datasets on the regional level, Thuringia plans to start identifying these datasets in 2023.

at local level:
Hanseatic City Hamburg (HH)
Transparency Act since 2012. The Hamburg Transparency Portal was created on this basis.
- transparency portal: https://transparenz.hamburg.de/13435532/reform-hmbtg/

A reference can be made also to the city of Braunschweig: https://www.braunschweig.de/digitalisierung-online-services/open-data.php#:~:text=The%20city%20of%20Braunschweig%20has%20measured%20values%20from%20sensors%20(real-time data).";Change;Yes;"Policies at regional level (examples):
Berlin (state)
Open Data is embedded in §13 E Government Law of Berlin (https://gesetze.berlin.de/perma?j=EGovG_BE_!_13);
In addition to the aforementioned Open Data law, an ordinance with detailed specifications was published: https://www.berlin.de/moderne-verwaltung/e-government/open-data/rvo.pdf?ts=1673410120;

Hanseatic City Hamburg (HH, state)
Transparency Act since 2012: https://transparenz.hamburg.de/gesetzestext-des-hmbtg-796514/

North Rhine-Westphalia (NRW, state)
Open Data Regulation (providing governmental data, §16a EGovG NRW): https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085
Open Data-Verordnung (an ordinance prescribing how data should be published): https://recht.nrw.de/lmi/owa/br_vbl_detail_text?anw_nr=6&vd_id=20121&ver=8&val=20121&sg=0&menu=0&vd_back=N 

Schleswig-Holstein (state)
Open Data Act (Offene-Daten-Gesetz, ODaG): https://www.gesetze-rechtsprechung.sh.juris.de/bssh/document/jlr-OpenDataGSHrahmen


Strategies at regional level (examples):
Berlin (state)
Berlin has published its Open Data strategy in 2023, which was developed in a wide participation form with the stakeholders from the economy, administration, science and civil community.
Download-Link: https://www.berlin.de/moderne-verwaltung/e-government/open-data/strategieprozess/artikel.1257333.php (at the bottom of the webpage)

North Rhine-Westphalia (NRW, state)
Open.NRW-Strategy: Part 1: https://open.nrw/system/files/media/document/file/opennrwt1web.pdf / Part 2: https://open.nrw/system/files/media/document/file/opennrwt2web.pdf

Rhineland-Palatinate (Rheinland-Pfalz, state)
As part of an open data policy see: https://www.landesrecht.rlp.de/bsrp/document/jlr-TranspGRPrahmen;
The law regulates that the information defined in a definite list in § 7 para. 1 and 2 LTranspG must be published proactively by the bodies subject to transparency obligations.

at local level:
A reference can be made also to the city of Braunschweig:
https://www.braunschweig.de/digitalisierung-online-services/open-data.php#:~:text=The%20city%20of%20Braunschweig%20has%20measured%20values%20from%20sensors%20";;;;;;
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"The Open Data Act obliges the Federal Government to report regularly to the German Parliament (Bundestag) every two years on the progress made in implementing open data (Section 12a (11) of the EGovG), see: http://www.gesetze-im-internet.de/egovg/__12a.html.
A new progress report is currently under preparation and will be published in the autumn of 2023.

The Open Data Strategy provides for various implementation measures, such as initiatives, projects and digital solutions. Parallel to this, a monitoring process has started in 2022 to document the implementation of individual measures, including through milestones and regular status reports.
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html;jsessionid=65E5C4C2408071FC3ABAB79141BF2AED.intranet251";Complement;Yes;"The Open Data Act obliges the Federal Government to report regularly to the German Parliament (Bundestag) every two years on the progress made in implementing open data (Section 12a (11) of the EGovG), see: http://www.gesetze-im-internet.de/egovg/__12a.html.
A new progress report is currently under preparation and will be published in 2024.

The Open Data Strategy provides for various implementation measures, such as initiatives, projects and digital solutions. Parallel to this, a monitoring process has started in 2022 to document the implementation of individual measures, including through milestones and regular status reports.
https://www.bva.bund.de/DE/Services/Behoerden/Beratung/Beratungszentrum/OpenData/Monitoring/monitoring_node.html;jsessionid=65E5C4C2408071FC3ABAB79141BF2AED.intranet251";;;;;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";yes;"Under Section 12a EGovG, all types of administrative data that do not relate to persons are covered by the obligation to provide open data by the federal administration (e.g. spatial data, statistics, static or dynamic data).

The Open Data Strategy of the government includes 68 measures among the dimensions data provision and infrastructures, data usage and data competences, building a  competitive and sustainable open data infrastructures and support ecosystem to enable the publication and access to real-time and dynamic data. (See the complete summary of measures as attachment).
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.pdf?__blob=publicationFile&v=5 (from page 19 onwards)";Confirm;;;;;;;;
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";No;"The Open Data Strategy contains at least some measures that involve civil society actors in the debate.
https://www.bmi.bund.de/SharedDocs/downloads/DE/publikationen/themen/moderne-verwaltung/open-data-strategie-der-bundesregierung.pdf?__blob=publicationFile&v=5

Individual measures as an example:
- Make digital city oriented towards the common good through community data skills (BMSWB) (page 28)
""We support research projects aimed at identifying and increasing data literacy in local government. The aim is, among other things, to collect which strategies and infrastructures steer local data management and to what extent qualification measures are being implemented for administrative staff. It will also explore the provision of data to citizens and civil society actors.""
- Annual Round Table Open Data (BMI) (page 27)
""We promote the intensification and perpetuation of exchanges between the Federal Government and the Länder, involving representatives of civil society from relevant stakeholder groups.""";Confirm;;;;;;;;
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";yes;With the legal obligation to place the metadata in the national metadata portal GovData (see § 12a(5) EGovG), these data are automatically made available or visible there due to the GovData interface with the European Data Portal.;Confirm;;;;;;;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"The re-use of Data is especially supported by increasing the quality of data, which eases its re-use.

Furthermore, the Federal German government funds the re-use of Open Data by the C opernicus Project amount of total funding to be handed in in later progress.

The data strategy and also the open data strategy of the government outline that the state should become the frontrunner / leader in the field of data usage and provision. This includes increasing the provision of open data; data literacy and using the data for policy making (data driven government). The potential of data is increasingly being used for more efficient and citizen-friendly service. On top the implementation and evaluation of political measures through the use of open data will be 
improved. See the statements of the government in the data strategy here: https://www.bundesregierung.de/resource/blob/975226/1693626/60b196d5861f71cdefb9e254f5382a62/2019-11-18-pdf-datenstrategie-data.pdf?download=1";Confirm;;;;;;;;
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"There is a pan-European initiative of creating a cloud for data sharing between the public sector and the private sector. The national Open Data Portal (GovData) is included in that initiative bringing together open data and ""closed"" data: https://www.bmwi.de/Redaktion/DE/Dossier/gaia-x.html 

In this context, a funding competition was launched in 2021 to submit ideas for applications, see: https://www.bmwk.de/Redaktion/DE/Dossier/Dateninfrastruktur-GAIA-X/gaia-x-foerderwettbewerb.html

Furthermore, the Federal Goverment's open data strategy specifies incentivising the usage of government data by the private sector (but no specific measures).

";Complement;Yes;"There is a pan-European initiative of creating a cloud for data sharing between the public sector and the private sector. The national Open Data Portal (GovData) is included in that initiative bringing together open data and ""closed"" data: https://www.bmwk.de/Redaktion/DE/Dossier/gaia-x.html

In this context, a funding competition was launched in 2021 (duration until 12/2024) to submit ideas for applications, see: https://www.bmwk.de/Redaktion/DE/Dossier/Dateninfrastruktur-GAIA-X/gaia-x-foerderwettbewerb.html

Furthermore, the Federal Goverment's open data strategy specifies incentivising the usage of government data by the private sector (but no specific measures).

";;;;;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"Regarding the national level:
The data strategy contains several measures specifing a data inventory, e.g.:
- Verwaltungsdateninformationsplattform (VIP); published by the Federal statistical office: https://www.destatis.de/DE/Themen/Staat/Buerokratiekosten/VIP/vip.html
- Datenatlas (this includes an inventory analysis of all the administration’s data), see:
https://www.bundesregierung.de/resource/blob/992814/1845634/0bab2b7d06c82f45361620f0c22891a2/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1 (page 50 and 88)

- A measure of the Open Data Strategy: the Competence Center Open Data (CCOD) at the Federal Office of Administration has developed a prototype of a ""theme catalogue"" of open data. (https://opendatabund.github.io/themenkataloge/)

Regarding the regional / communal level:
Due to consitutional restrictions in Germany owing to Germany's Federal structure (Bund on the national level and the 16 Länder), the national government cannot directly mandate the federal states (Länder) or communes/cities and their respective public bodies to maintain a data inventory. However, within the limits of the German constitution, the national government has issued a law that specifies which data that must be published as open data (§12a). 
This is due to constitutional restraints (verfassungsrechtliche Hürden) but incentives were used e.g. in programmes to support local and regional initiatives (Modellkommunen/ Model Municipalities BMI) as well as dialogue formats with all regions and local authorities. Link: https://www.bmi.bund.de/DE/themen/moderne-verwaltung/open-government/modellkommune/modellkommune-node.html
Based on the results of the project ""Modellkommune"", see also the current initiative of the regional open government laboratories:
https://open-government-kommunen.de/

Response to r1: The overarching Topic Page (main page) is better suited here. This page summarises all the main findings of the regional open government laboratory initiative, to which we refer in our reply.";Complement;Yes;"There is currently no obligation on federal level to create a data catalogue on a legal basis or on the basis of the various strategies in the field of data/open data.

In fact, such an obligation is currently being considered for a planned transparency law (on federal level). However, the discussion process itself has not yet started and therefore no decisions have been made yet.

In addition, there are datasets that require at least certain requirements (examples at federal level):
- Verwaltungsdateninformationsplattform (VIP); published by the Federal statistical office: https://www.verwaltungsdaten-informationsplattform.de/DE/Home/home_node.html
- Datenatlas (this includes an inventory analysis of all the administration’s data), see:
https://www.bundesregierung.de/resource/blob/992814/1845634/0bab2b7d06c82f45361620f0c22891a2/datenstrategie-der-bundesregierung-download-bpa-data.pdf?download=1 (page 50 and 88)

Due to consitutional restrictions in Germany owing to Germany's Federal structure (Bund on the national level and the 16 states/Länder), the national government CANNOT directly mandate the federal states (Länder) or communes/cities and their respective public bodies to maintain a data inventory. ";;;;;;
P10-b;"Do these data inventories include the data collected by public bodies that cannot be published as open data (e.g. in relation to the EU Data Governance Act (EU) 2022/868)? 

For Explanation:
* If yes, please briefly specify.";yes;"Yes, the Verwaltungsdateninformationsplattform (VIP, see above) specifies identifying (but not publishing) all metadata from registers, which by their nature as personal data do not entail any open data.
The German Open Data Law (§12a EGovG) currently specifies, which data cannot be published as open data. This data for instance includes individual-level personal data, research data, as well as data thay may put Germany's national security at risk. 

Furthermore the second Open Data Act (in force since 07/2021) includes a specific regime for research data requiring publication in certain cases";Complement;Yes;"As noted above, there is no legal obligation to create data catalogues. Nevertheless, for example, the Administrative Data Information Platform (VIP, see above) specifies the identification (but not the publication) of all metadata from registers which, by their nature, do not contain open data as personal data.
The German Open Data Act (§12a EGovG) currently determines which data may not be published as Open Data. These data include, for example, personal data at an individual level, research data and data that may jeopardise the national security of Germany.

In addition, the second Open Data Act (in force since 07/2021) contains a specific regulation for research data that must be published in certain cases.";;;;;;
P11;"Is your country applying the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
* If yes, how is it progressing? 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.
** In the table below, please indicate your progress with respect to a) organisation, b) legal aspects, c) technical aspects on a scale from 1 to 5. 1 = no progress; 2 = few progress; 3 = some progress; 4 = considerable progress; 5 = works are finalised.";new question;new question;Change;Yes;"FAQs are provided on the national metadata portal GovData for the implementation of the high-value datasets.
Link: https://www.govdata.de/web/guest/hochwertige-datensaetze

There is also a guideline and a process diagram in preparation.";;;;;;
;Categories of high-value datasets;Answers  2024;;Degree of progress (from 1 to 5);;;;;;;;
;;Organisational progress;Legal progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;Technical progress ;;;;
;;Setting up new roles and workflows;Addressing legal barriers;Identification and inventory of high-value datasets;Publication of high-value datasets in machine-readable formats via APIs;Publication of high-value datasets as bulk download, where relevant;Standardised means to structure, describe, access high-value datasets;Ensuring metadata availability and quality;;;;
P11-a;Geospatial;3;4;4;2;1;3;3;;;;
P11-b;Earth observation and environment;3;4;4;2;1;3;3;;;;
P11-c;Meteorological;3;4;4;2;1;3;3;;;;
P11-d;Statistics;3;4;4;2;1;3;3;;;;
P11-e;Companies and company ownership;3;4;4;2;1;3;3;;;;
P11-f;Mobility;3;4;4;2;1;3;3;;;;
P12;"Have the public bodies in your country denoted relevant datasets as high-value datasets in their metadata following the publication of the implementing regulation (EU) 2023/138 on high-value datasets?

For Explanation:
*  If yes, please specify how and highlight challenges, if any. 
* If you are an EFTA or a candidate country to the EU, please select 'not applicable'.";new question;new question;Change;Yes;Some data sets are already marked as a high-value dataset, for example in the geodata area.;;;;;;
;1.2 Governance of open data;;;;;;;;;;;
P13;"Is there a governance structure in place that enables the participation and/or inclusion of various open data stakeholders? 

For Explanation:
*  If yes, please briefly describe the governance structure and its operating model ";new question;new question;Change;Yes;"The Competence Centre Open Data (CCOD) organises an annual round table to find topics for future specialist forums with various stakeholders who provide open data. As a result, the CCOD organises regular expert forums on different topics in the field of Open Data with different stakeholders.
Example (expert forum for high-value-datasets): https://www.bva.bund.de/SharedDocs/Kurzmeldungen/DE/Behoerden/Beratung/OpenData/Aktuelles/2024/FF_HVD.html";;;;;;
P14;"How would you classify the model used for governing open data in your country? 

For Explanation:
*  Please briefly explain why this model was chosen/works best for your country";hybrid;Hybrid, because of the federal structures in Germany. This model is used to incorporate all federal levels and ensure an alignment of projects and initiatives at local and regional level. ;Confirm;;;;;;;;
P15;"Does the governance structure ensure that the local and regional open data initiatives are facilitated and supported at national level?

For Explanation:
* If yes, please give an example of what kind of support.
* If not applicable, please explain why.";new question;new question;Change;No;Due to the federal structure of Germany, the possibilities of support at regional and local level are very limited.;;;;;;
P16;"To what degree do local/regional public bodies conduct open data initiatives? 

For Explanation:
* If not applicable, please explain why.";the majority of public bodies;"Due to the regulations all authorities at the federal state level are obligated to provide open data.
see § 12a sec.1 EGovG, https://www.gesetze-im-internet.de/egovg/__12a.html

Some of the states (Länder) have also implemented different open data policies, that oblige their public bodies to provide open data.
e.g. NRW, https://recht.nrw.de/lmi/owa/br_bes_detail?sg=0&menu=0&bes_id=34925&anw_nr=2&aufgehoben=N&det_id=552085

Moreover a lot of minucipalities and cities provide open (government) data.
- City of Berlin, https://daten.berlin.de/
- City of Munich: https://opendata.muenchen.de/
- City of Bonn, https://opendata.bonn.de/";Confirm;;;;;;;;
